Structure [idcode]	label	fragment	type	risk
eO`BNZ`@	t3	mol	tumorigenic	high
fH`D@@	t3	mol	tumorigenic	high
fH`T@@	t3	mol	tumorigenic	high
fH`X@@	t3	mol	tumorigenic	high
fH`p@@	t3	mol	tumorigenic	high
fHa@@@	t3	mol	tumorigenic	high
fHap@@	t3	mol	tumorigenic	high
fHbT@@	t3	mol	tumorigenic	high
fHcD@@	t3	mol	tumorigenic	high
fHcP@@	t3	mol	tumorigenic	high
fHcT@@	t3	mol	tumorigenic	high
fHcd@@	t3	mol	tumorigenic	high
fHdH@@	t3	mol	tumorigenic	high
fHdP@@	t3	mol	tumorigenic	high
fHdd@@	t3	mol	tumorigenic	high
fHdp@@	t3	mol	tumorigenic	high
fHep@@	t3	mol	tumorigenic	high
fHfX@@	t3	mol	tumorigenic	high
fHgP@@	t3	mol	tumorigenic	high
fHgd@@	t3	mol	tumorigenic	high
fHgh@@	t3	mol	tumorigenic	high
fHpXT@	t3	mol	tumorigenic	high
fHpp\@	t3	mol	tumorigenic	high
fI@@	t3	mol	tumorigenic	high
fJ@@	t3	mol	tumorigenic	high
f`a@P@@Ht[HheDhmD\jsTE@qP@@	t3	mol	tumorigenic	high
f`a@`@@FrJJIJQJrLy@PUUT@@@	t3	mol	tumorigenic	high
f`aA@@@ILsKWRpTADUUP@@	t3	mol	tumorigenic	high
f`aAb@NFlBHrJIKIRJUTY@AUST@@@	t3	mol	tumorigenic	high
f`aQC@IVLBPQHXdLbdLRTvf`eUPADu@@@	t3	mol	tumorigenic	high
f`ahB@LDxJP@aJ[V]Yf\h@Jjj@@@	t3	mol	tumorigenic	high
f`ahB@LDxJP@aJ[V]ZV\h@Jjj@@@	t3	mol	tumorigenic	high
f`aq@@DV\CHheEDcddkSTE@UP@@	t3	mol	tumorigenic	high
f`i@P@@HD[HhdihdhUSbkN|uHPTUB@@	t3	mol	tumorigenic	high
f`i@P@@HTYIe[VUZLeiwfi@HjhP@@	t3	mol	tumorigenic	high
f`i@`@@DRYfyU]`mNmyi`@@B@@@	t3	mol	tumorigenic	high
f`i@`@@HrJSQQQIH|UiuoMP@P@P@@@	t3	mol	tumorigenic	high
f`i@`@@VRYfYU]`eNMyh@`AB@@@	t3	mol	tumorigenic	high
f`i@a@ARADDbDfYuUUYqVg^``Jh@@@@	t3	mol	tumorigenic	high
f`i@a@BBADNbLbbbRfaRcIBU[tDE@AA@@@	t3	mol	tumorigenic	high
f`i@a@FRAD^bDfUm[UirRkN`BJ@BH@@	t3	mol	tumorigenic	high
f`i@a@FRAD^bDfUm[WirRkN`BJ@BH@@	t3	mol	tumorigenic	high
f`iA@@@YHhhheLUfBdYwjBb@@H@@@	t3	mol	tumorigenic	high
f`iA`@@HldrlkZuFJMYsTaADtP@@	t3	mol	tumorigenic	high
f`iA`@@HmdTRTRTrQhqQkNZdHHfb@@	t3	mol	tumorigenic	high
f`iQA@B\|@HpDISLzsnRdcN}TaAQUD@@	t3	mol	tumorigenic	high
f`ih@@@\eYvRJJJJUKJgEZMX@HHFhH@@	t3	mol	tumorigenic	high
f`ip@@@XTeLwOvmNJt{pPQT@A@@@	t3	mol	tumorigenic	high
f`q@@@DjUgm_hJs``hB@`@@	t3	mol	tumorigenic	high
f`q@`@@LRYfWg^Qg^ZB`@@@@@	t3	mol	tumorigenic	high
f`qA`@@FmdbbdTUrRiIVjBh`jd@@	t3	mol	tumorigenic	high
f`qA`@@Hpdrlrj~gV|uP@@@@@@	t3	mol	tumorigenic	high
f`qHC@DXxHDPrHMDYEDeDUEEj\]z@HhH@@@@	t3	mol	tumorigenic	high
f`qP@@@PrQJJJIIFJlYsP@P@P@`B@	t3	mol	tumorigenic	high
f`qPB@DX@DILwLjoiuoMUUUUT@@	t3	mol	tumorigenic	high
f`qP`@DBAKHheHdhbmPSoMUTa@P@@	t3	mol	tumorigenic	high
f`q`@@@YEEDbdhdf\]z@`f@@@PE@	t3	mol	tumorigenic	high
f`q`B@B@bDfYwVUYqwhHBX@@A@T@	t3	mol	tumorigenic	high
f`q`B@O@dDfUuYWhrsh@I`@`ACd@	t3	mol	tumorigenic	high
f`q```JBTBHQDXbBAFQREQQSYJVg^jjfX@@@@	t3	mol	tumorigenic	high
f`q```JBTBHQDXbBAFQREQQSYJVg^jjfZjd@@	t3	mol	tumorigenic	high
f`q`b@LPP@HrRPjJIIKZ][ru@@@@@@@	t3	mol	tumorigenic	high
f`qa@@D@RYyV{TRg^Z`B@@@@@	t3	mol	tumorigenic	high
f`qa@@D@RYyeg^Qg^Z``@@@@@	t3	mol	tumorigenic	high
f`qh@@@XirVRJJZGJII`g^BHa`@@DAP	t3	mol	tumorigenic	high
f`qi`@DTxIPC^rJIQQJiILyISUKMUU@@@	t3	mol	tumorigenic	high
f`qp@@@Hpds\rj~gV|uP@@@@@@	t3	mol	tumorigenic	high
f`qpa@LR}A@@`PQddaTTRRUtxuejBPha@@	t3	mol	tumorigenic	high
f`y@@@LdbbbbbfkEBMIuo@@@@@@@@@	t3	mol	tumorigenic	high
f`~`b`KLLBHHDTBNA@`aIneUYYjjjZ`@@	t3	mol	tumorigenic	high
fbc@@@LdbbbTRLRqWEBMjsoIs@AA@UUPT@@	t3	mol	tumorigenic	high
fbc@@@LdbbbbbbQQsEBMKuhir@@@@@@@@@@	t3	mol	tumorigenic	high
fbc@@@LdbbbbbbcJwEB]Hu`ir@@@@@@@@@@	t3	mol	tumorigenic	high
fbc`@@@ISLrj}{dirVgVBgLmUTrB@m@@@	t3	mol	tumorigenic	high
fbc`@@@YHheEMDXlijREhuoQSd@@@@@@@@@@	t3	mol	tumorigenic	high
fbe@P@@HM[HheDhdhmbdisTEALUT@@@	t3	mol	tumorigenic	high
fbe@`@@HRYWUUUUIQjjjjjj`@@	t3	mol	tumorigenic	high
fbe`P@N@P[vQQJJKQRzZIUfjijjZi@@	t3	mol	tumorigenic	high
fbm@@@DjYVWV}~ZlENXI@H@@@@@@	t3	mol	tumorigenic	high
fbmAP@@BLENQQQQQQQYG[bm^]Eh@bHAJ`@@	t3	mol	tumorigenic	high
fbmAP@@BUGNQQQQQQPeIG`mNBehIb@@b`@@	t3	mol	tumorigenic	high
fbmH`@EVBdGlbbbbbbTRacAZb{KPADDLQ@@@	t3	mol	tumorigenic	high
fbmI@@DTdhFQQIQIQHqIY`iJSejfYjB@h@@	t3	mol	tumorigenic	high
fbmPB@NA@DYHhhhddmcEJ\e[Sj@H@`jj@@@	t3	mol	tumorigenic	high
fbmPb@AJ|dDPdrmrljoSfgQs@DMPTBD@@@	t3	mol	tumorigenic	high
fbmQB@AJRBHRYVyV[WisShy`BFhJAB@@@	t3	mol	tumorigenic	high
fbmp@@@V|eLsJzo]SdcZ\@@@AEU@@@@	t3	mol	tumorigenic	high
fbu@@@LdbbRbVbrQwMQS@pU@TA@BFH	t3	mol	tumorigenic	high
fbu@@@LdbbRbbtRJOCIs@pUPE@@BFH	t3	mol	tumorigenic	high
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@	t3	mol	tumorigenic	high
fbu@`@@YRYWYeg_hrJX@JY``H@HDj`	t3	mol	tumorigenic	high
fbua@@D@rJJJPjJYIK^SGKUUX@@@@@@	t3	mol	tumorigenic	high
fbupb@LVcA@@cIIBmDeLhThkUgKU@ASUQ@@@	t3	mol	tumorigenic	high
fby@`@@HR[UUUUUZjjfjj`PT`	t3	mol	tumorigenic	high
fby@`@@HR[UUUUUZjjjjj`@@	t3	mol	tumorigenic	high
fbya@@D@R[UUUUUZjjjjj`@@	t3	mol	tumorigenic	high
fb}@@@DjYee]^RD[S`q@@@@@B`@@@	t3	mol	tumorigenic	high
fb}@P@@H]gHheDheEeD\jugQRgKUUUUUUU@@@	t3	mol	tumorigenic	high
fb}@`@@LrJJJJHyISI\dkSoIsTED@@@H@@@	t3	mol	tumorigenic	high
fb}@`@@LrJJJJHyJIK\dkS`isTED@@@H@@@	t3	mol	tumorigenic	high
fb}@`@@LrJJJJKIIIH|Djw`isTEP@@@@@@@	t3	mol	tumorigenic	high
fb}@`@@YRYVum[ehrRkNBf@BjjjjJ`@@	t3	mol	tumorigenic	high
fb}@`@@YrJJQIFYJYKDyIUgQRuUUU@AU@@@	t3	mol	tumorigenic	high
fb}@`D@HQvQSRJIJUJYHRiZ]yNVjjjjjjj@@	t3	mol	tumorigenic	high
fb}A@@@IS\lj{j|DjsoIsP@@@@@@@@@	t3	mol	tumorigenic	high
fb}A@@@IS\l~kZ|dkSoIsP@@@@@@@@@	t3	mol	tumorigenic	high
fb}A@@@YHihhhdeCenJtzpTyh@@@@@@@@@	t3	mol	tumorigenic	high
fb}P@@@RRVYfU{wyKSkASg`@@@@@@@@@	t3	mol	tumorigenic	high
fb}`@@@YHhhhhdhecjRUXt_I@@@@@``@@@	t3	mol	tumorigenic	high
fb}`B@A@dDfUmeumZLeiwdy`@@`@@@@@@	t3	mol	tumorigenic	high
fb}`B@A@dDfUmevUzLeipTy`@@`@@@@@@	t3	mol	tumorigenic	high
fb}`B@B@dLbbbRfbtVbKIBuxJ\p@@A@@@@@@	t3	mol	tumorigenic	high
fb}a@@I@RVYfU{wyKSkASe`@@@@@@@@@	t3	mol	tumorigenic	high
fde@@P@QAHadQJHuDFb@qDXcHhhiMMEciS`eN}MUUUUUP@@	t3	mol	tumorigenic	high
fde@@P@QAHadQJHuDFbOQDXcHhhiMMEcCS`eNCMUUUUUP@@	t3	mol	tumorigenic	high
fde@P@@BLGHhhhhhhlcqVoNbt@QD@d@@@	t3	mol	tumorigenic	high
fde@``ARADDb@qDXaIf]UUUYqVg^``Jh@h@@@	t3	mol	tumorigenic	high
fde@``BRADLb@qDXcHhhheCBdeqTmN}ADT@AQ@@@	t3	mol	tumorigenic	high
fdeQ@@DFAdTRbRRTJbIQVg^ZiBBZhDDJP	t3	mol	tumorigenic	high
fde``@A@BdsLsKslUiuhm@DPAI@@@	t3	mol	tumorigenic	high
fde`b@H\d@HRfYfWwQJMxLZjfZ``H@@	t3	mol	tumorigenic	high
fdi@P@@HM[HheDhdhkdisTE@lT`@@	t3	mol	tumorigenic	high
fdiA`@@HedTtbJRbbV|Ejjj@``@@	t3	mol	tumorigenic	high
fdiQb@LR``P@cIIBhheedmjru@pQU@@@	t3	mol	tumorigenic	high
fdq@`@@HR[UUUUVjjjjj@@	t3	mol	tumorigenic	high
fdqA`@@LdeJl{jjtuSSLtBbGbiLnP	t3	mol	tumorigenic	high
fdqPP@LQ@`p\bbRTTaVRcUUUUS@@@	t3	mol	tumorigenic	high
fdqaQ@JDT{pPQEoCHhhihldYMRuUUMPHHP	t3	mol	tumorigenic	high
fdu@@@DjYee]}daZlGtP@@@@@@@@@	t3	mol	tumorigenic	high
fdu@@@DjYee]}faRlGtP@@@@@@@@@	t3	mol	tumorigenic	high
fdu@@@DjYee_daFtxLP@@@@@@@@@	t3	mol	tumorigenic	high
fdu@@@LdbbbbbTUHeRlXOh`@@@@@@@@@	t3	mol	tumorigenic	high
fdu@A`@QAHadQJHCDQbLbbbdtqTVeA\TYuoSUUUUUT`@@	t3	mol	tumorigenic	high
fduAC`H`bBQCHbTQjHMD^bLbbbdttVLUNBTxHXsUUUUUU@@@	t3	mol	tumorigenic	high
fdu`@@@YHheEhTddj\EHu`q@@@@@@@@@	t3	mol	tumorigenic	high
fdu`@@@YHhhhdeCejBd[S`q@@@@@@@@@	t3	mol	tumorigenic	high
fdu`@@@YHhhhhdhbZRUXp_Q@@@@@@@@@	t3	mol	tumorigenic	high
fdy@A`@XaLPVH[DCbQqDfYuygUgG^``JB@h@@@	t3	mol	tumorigenic	high
fdy@A`@XaLQfHKDUbNqDfYnf_d`q`bHhH@@@@	t3	mol	tumorigenic	high
fdyAP@@BUhNQQQQQQDqIdgAZYjZZj`@@	t3	mol	tumorigenic	high
fdyAa@MAbBHQDIM_JztvBRUUP@UTt@@@	t3	mol	tumorigenic	high
fdyP`@AR@EJ[WUe]Yqwj@Bh@J@@@	t3	mol	tumorigenic	high
fdyhP@DTxIPCAcdTRbbURTRYrRfjVZjjh@@	t3	mol	tumorigenic	high
fdyi`@DTxIP@qrJIQQJiJILyISUKMUUT@@	t3	mol	tumorigenic	high
fdyqb@LFcA@`AFRREQQIJH{WcVVhIBhhP@@	t3	mol	tumorigenic	high
fgA@@@DjYU_VByHu`@@@@@@@	t3	mol	tumorigenic	high
fgA@@@LdbbbTVKIBMjp@@@@@@@	t3	mol	tumorigenic	high
fgA@P@@HEkHheHeEBRdmFluUMUU@@@	t3	mol	tumorigenic	high
fgA@`@@\RfYe_irQmVh@`@H@@@	t3	mol	tumorigenic	high
fgAA`@@HLdrmlkQdmFluHADq@@@	t3	mol	tumorigenic	high
fgAH@@@XhiJYmg]gAJMXH`jeF@@	t3	mol	tumorigenic	high
fgAP@@@\RfYe_irQmV@@@@@@@@	t3	mol	tumorigenic	high
fgAp@@@XheLvnjs`iFlDPT@@@@@	t3	mol	tumorigenic	high
fgApB@LLx@HRevUUpPTcViYj@H@@@	t3	mol	tumorigenic	high
fha@R@HHpPG`eUjjjjuUUUU@@@	t3	mol	tumorigenic	high
fhaH@@@\DyJUUUWVjjjjj@@	t3	mol	tumorigenic	high
fhep`@BLT@NQQQQQQRq\tJQkN|uLuUTuP@@	t3	mol	tumorigenic	high
fhi@B`@QAHadPzHCDYEEELUDeCpUoPQA@DP@@@	t3	mol	tumorigenic	high
fhi@`@@RrJJIIQFYHVoAZBA`@@@@	t3	mol	tumorigenic	high
fhi@c@ARAD\B@qFQQIYRFIKTX{t@Dl@D@@@	t3	mol	tumorigenic	high
fhiA`@@B|dsLro~jqgM@D@AP@@@	t3	mol	tumorigenic	high
fhiHB@EZLDDQdTRVTTTQUFF]@A@QE@@@	t3	mol	tumorigenic	high
fhiHa@LTdFB@A@`cIIBhhddmmNMYZ`hJJD@@	t3	mol	tumorigenic	high
fhiIP@DXxHDc^CdTRbfaTVUNZltuUUUL@@	t3	mol	tumorigenic	high
fhiP@@@ArJJIEJIJYgKN`HJ@B`@@	t3	mol	tumorigenic	high
fhiPA@BAADNbLbbbrrbRaYrwhHB`BH@@@	t3	mol	tumorigenic	high
fhiP`@DZAyIgVYW^VkNZjdHBh@@	t3	mol	tumorigenic	high
fhiPb@OA``@QddabbRRvRkF\m@@@E@@@	t3	mol	tumorigenic	high
fhiQA@BADBH]DYEEEeeDeBseoPPE@DP@@@	t3	mol	tumorigenic	high
fhiQ`@DX@pRSJswJ}N^BuSMA@P@@	t3	mol	tumorigenic	high
fhia@@E@rQQQHyJIHToAhJ@h@@@@	t3	mol	tumorigenic	high
fhia@@J@RfywVUxKpZB@f@@@Pe@	t3	mol	tumorigenic	high
fhipS@IZCpSo@bBAA`cHhheHeTiFJlFBAXjVH@@	t3	mol	tumorigenic	high
fhiq@@DZBCHheEDeDceNmyj@@`B@@@	t3	mol	tumorigenic	high
fhiqB@IF]hDadTTTbfLVWE^CMUTmRt@@	t3	mol	tumorigenic	high
fhiqP@DXxBQoArJIQSPjKJ`mVZZjjjf@@	t3	mol	tumorigenic	high
fhiqb@LJMAC`AFRRVIKIQKBd{rt@EMLP@@	t3	mol	tumorigenic	high
fhq@`@@NrQQJIJYHxRjBHbjh@@	t3	mol	tumorigenic	high
fhqXB@J\dZpPAFRIJIJJqIBeUSMMUpHJ`	t3	mol	tumorigenic	high
fhy@C`@QAHadQJHuDFbOQFQQQRZZKFTxIS`sUUUUMP@@	t3	mol	tumorigenic	high
fhy@`@@HRY[fUWpPwgAZj@@@H@@@	t3	mol	tumorigenic	high
fhy@c@ARADDb@qBSLzjjkNJt{tDAU@D@@@	t3	mol	tumorigenic	high
fhyA@`A@bBQGh`LPdsNjjjsdeV]A@U@E@@@@	t3	mol	tumorigenic	high
fhyA`@@BMdTTTTTTVoEZ|xL@A@P@@@@	t3	mol	tumorigenic	high
fhyA`@@B|dsLsKnqVgVBt@Q@BP@@@	t3	mol	tumorigenic	high
fhyA`@@Hldrlk[oQbcN|uHPQUP`@@	t3	mol	tumorigenic	high
fhyH@@@XxkIEDeDehTjBYspP`Xj@@`@@	t3	mol	tumorigenic	high
fhyI`@LJMxD`yHhhhUEedRfcN}UUTBAT@@@	t3	mol	tumorigenic	high
fhyPA@B\@DXBDif]WmRTekpZdHHjjH@@	t3	mol	tumorigenic	high
fhy``@A@|dsLsKnqVgVBt@Q@BP@@@	t3	mol	tumorigenic	high
fhyaB@K^@DISLjo{XhKRcT@@@Tt@@@	t3	mol	tumorigenic	high
fhyh@@@\e[vRJJJJUIITxkQk@AA@uPP@@	t3	mol	tumorigenic	high
fkAA`@@TTeJwsLDDXkVcUUUUUP@@	t3	mol	tumorigenic	high
fle@B`@QAhbtPzHSDYEEDeCEHe\s`XpDEATA@@@	t3	mol	tumorigenic	high
fle@Q`OAbdDPRHYDRbMQAhcHhhiMMEcEJ\DjZjjjfZ`@@	t3	mol	tumorigenic	high
fleHb@LBdfB@AFRREQQIIZIZ][ru@@@EP@@@	t3	mol	tumorigenic	high
fleI@BHTDh@NaNQJJIIKQPi\eEMA@eT@@@ar@	t3	mol	tumorigenic	high
fleP`@DA@eIVUue]^B]yX@J@BT@@@	t3	mol	tumorigenic	high
fle`@@@YIEDeDThll[tTuSPP@@@BAH	t3	mol	tumorigenic	high
fle``@A@PdrrrrjcQRuAPI@@@HJ`	t3	mol	tumorigenic	high
fle``@D`TeMrnkZAAcPDET@D@@@	t3	mol	tumorigenic	high
flehPBDX}EHAJCFT}dTTRTRRJRsNFluTtuUKP@@	t3	mol	tumorigenic	high
fli@@@LdbVRRbbjTjjjjjj@@	t3	mol	tumorigenic	high
fliA@@@IJjjjjkUUUUUT@@	t3	mol	tumorigenic	high
fliAq@LDhkSo@BH^FRJQSIQUQ[TuUMSU@@@	t3	mol	tumorigenic	high
flm@@@DjYee]YhTkA}D@@@@@H@@@	t3	mol	tumorigenic	high
flm@@@DjYee]yHQmNCD@@@@@H@@@	t3	mol	tumorigenic	high
flm@@@DjYee_yHQmNCD@@@@@H@@@	t3	mol	tumorigenic	high
flm@@@LdbbbTRrJRxhQmNBd@@@@@`@@@	t3	mol	tumorigenic	high
flm@@@LdbbbTRvRQyHQmNbd@@@@H@@@@	t3	mol	tumorigenic	high
flm@@@LdbbbTVRcRXhQmNbd@@@B@@@@@	t3	mol	tumorigenic	high
flm@@@LdbbbbbTQnEjUcA}D@@@@@H@@@	t3	mol	tumorigenic	high
flm@@@LdbbbbbTUVDjUcA|d@@@@@`@@@	t3	mol	tumorigenic	high
flm@B@@AFQQQQQIJGKLdjqoQS@@@@@@@@@@	t3	mol	tumorigenic	high
flm@B@@RFQQQJKPiIILEIUgQS@@@@@@@@@@	t3	mol	tumorigenic	high
flm@B@@XfQQQQQIJGKLdjqoQS@@@@@@@@@@	t3	mol	tumorigenic	high
flmA@@@ILrrknjsdcV]EL@@@@@@@@@	t3	mol	tumorigenic	high
flm`@@@YHhhhdeElcPTcZ}EH@@@A@@@@@	t3	mol	tumorigenic	high
flm`@@@YHhhhhdhecRRkFcyH@@@@D@@@@	t3	mol	tumorigenic	high
flmaA@KQ@DPdLdtTRbtJfRyIVkNbfifZiZej@@	t3	mol	tumorigenic	high
fluAP@@B\FJSLsLoJlUkudm@DPDLP@@@	t3	mol	tumorigenic	high
fluAP@@HdkrSKLvzjlxYtTmT`pQUP`@@	t3	mol	tumorigenic	high
fluAc`OARBHIDLbIQFh`tQDHrJJJSSQXiZgAJCFZjjjjfh@@	t3	mol	tumorigenic	high
fluPP@DTAsUlbbTTTlTvRXHshiZjZfX@`@@	t3	mol	tumorigenic	high
fluP`@DX@qIeVyeUrT]DJVjZ@@@H@@@	t3	mol	tumorigenic	high
fluQB@DXX@HRYUnYU\eGQBejf`@@B@@@	t3	mol	tumorigenic	high
flu`a@BJ|CDebYEEEheDXdlpQkQSAADtB@P@@	t3	mol	tumorigenic	high
fluaP@E@EKt\bbbbbRJRRXhshiZdF`bjb@@	t3	mol	tumorigenic	high
flua`@O@QGHheEDdebeJ\UXsfh@@@ih@@@	t3	mol	tumorigenic	high
fluib@DTxIQhi@DYEDhheUDddsdeN|uRsUUUT@@	t3	mol	tumorigenic	high
flux@@@XIRRmYHhhldiUDdsdcQRA@AQ@@@@@	t3	mol	tumorigenic	high
flyAP@@HLxJSJkZrkzluT`DUT@@@	t3	mol	tumorigenic	high
fl}A@@@IRlrjkoAENJl[tTuP@@@@T@@@	t3	mol	tumorigenic	high
fl}A@@@YEEDhih]DdpTmZlxLTmSSTuJsT@@	t3	mol	tumorigenic	high
fl}A@@@YHdhheDddcAENJ]ZHTt@@@@@@@@@	t3	mol	tumorigenic	high
fl}AA`D`bBQCHbTPFHcDYEEEIibheEPWEFl{wdsUUUUUUT@@	t3	mol	tumorigenic	high
fl}aA@HF@DIdLdRbbRRtJR``cIFuXLZjjZjeif@@	t3	mol	tumorigenic	high
foA@`@@VRfUYu^JLz``@B@@@	t3	mol	tumorigenic	high
foAAB@A@bDfUmyVcKN`@j@@@@@	t3	mol	tumorigenic	high
foAA`@@HXdrkkJdiYsTtp@PBGH	t3	mol	tumorigenic	high
foAP@@@NRYWVUzLMZ@B`@`@@	t3	mol	tumorigenic	high
foAP@@@XReeV]qZlyfjjjj@@	t3	mol	tumorigenic	high
foAPB@KN@DISLjohmJMP@@AP@@@	t3	mol	tumorigenic	high
foAPQ@LF`aV`AD`cIICDTiCJLlyZjiZj@@	t3	mol	tumorigenic	high
foAP`@BZ@aInvYWejsfjiB@`@@	t3	mol	tumorigenic	high
foA`@@@IKLrjzkF]u@@@@@@@	t3	mol	tumorigenic	high
foA`@@@ILkjrmFV]@AL@@@ar@	t3	mol	tumorigenic	high
foA`@@@IML|{wEFmUSA@R@@@	t3	mol	tumorigenic	high
foA``@L@QdTVbbbblmV\u@A@@@@@	t3	mol	tumorigenic	high
foA`a@AZlBHYDYEDeDXhiSagPAESLP@@	t3	mol	tumorigenic	high
foAaB@G\ADILkkJ}FFm@AP@P@@@	t3	mol	tumorigenic	high
foAa`@J@PIImeeWyJsfjZb@@@@	t3	mol	tumorigenic	high
foAp@@@P\eKLjorMjsP@@A@B@H	t3	mol	tumorigenic	high
foAq`@DXxBSlbbTTtJVhKQffjjjX@@	t3	mol	tumorigenic	high
foIA@@@IRlkZ|DTyKUgUSUUJs@@@	t3	mol	tumorigenic	high
foIA@@@IRlrj|DTxjqgUP@@AP@@@	t3	mol	tumorigenic	high
foQ@b@BBADYEEDeMBdrPeV]AAP@A@@@	t3	mol	tumorigenic	high
foQ@b@FRADILkZvmNRUYt@QP@D@@@	t3	mol	tumorigenic	high
foQA`@@HldrmlrtYKUgMR@QSD@@	t3	mol	tumorigenic	high
foQH@@@RM[IEDhmBdj\DkQ`@@ajB@@	t3	mol	tumorigenic	high
foQH@@@XhiJYmg^YpRcVBHJiXX@@	t3	mol	tumorigenic	high
foQP@@@FRfYeUz\e[S`@@@`@@@	t3	mol	tumorigenic	high
foQP@@@FRfYeUz\e[S`@`JbB@@	t3	mol	tumorigenic	high
foQa@@N@rQQQQJKGbiVLz`BB@D@@@	t3	mol	tumorigenic	high
foQp@@@XdeLv{ZtyIUgAAE@@P@@	t3	mol	tumorigenic	high
foQp@@@XidbbfbQRSNRUYpQAT@@@@@	t3	mol	tumorigenic	high
gBQ@@eJuT@@	t3	mol	tumorigenic	high
gBX@@eLUT@@	t3	mol	tumorigenic	high
gC`@Die@@	t3	mol	tumorigenic	high
gC`@H{P@	t3	mol	tumorigenic	high
gC`DADJHRZd@	t3	mol	tumorigenic	high
gC`DADZHRVXRP	t3	mol	tumorigenic	high
gC`DADZHRVx@	t3	mol	tumorigenic	high
gC`DAHJPRZd@	t3	mol	tumorigenic	high
gC`HADIKLIH	t3	mol	tumorigenic	high
gC`HAVIMT@@	t3	mol	tumorigenic	high
gC`HAbIKJ@@	t3	mol	tumorigenic	high
gC`LADJHtPduP@	t3	mol	tumorigenic	high
gC`LADJPt`duP@	t3	mol	tumorigenic	high
gC`LAVJluXduP@	t3	mol	tumorigenic	high
gC``Adej@@	t3	mol	tumorigenic	high
gCa@@dkH@	t3	mol	tumorigenic	high
gCa@@dmH@	t3	mol	tumorigenic	high
gCa@@dmP@	t3	mol	tumorigenic	high
gCa@@dmX@	t3	mol	tumorigenic	high
gCa@@dsP@	t3	mol	tumorigenic	high
gCa@@duP@	t3	mol	tumorigenic	high
gCaA@NRVd@	t3	mol	tumorigenic	high
gCaHH@bNt@@	t3	mol	tumorigenic	high
gCah@mJAIj`@	t3	mol	tumorigenic	high
gCahHl@bNj@@	t3	mol	tumorigenic	high
gCahHlGBNt@@	t3	mol	tumorigenic	high
gCahHlHRNj@@	t3	mol	tumorigenic	high
gCahhlAa]ncm@@	t3	mol	tumorigenic	high
gCaihlLr\nwQz`@	t3	mol	tumorigenic	high
gCd@ADij@@	t3	mol	tumorigenic	high
gCd@ADkZ@@	t3	mol	tumorigenic	high
gCdDI`BHDRZh@	t3	mol	tumorigenic	high
gCh@@doH@	t3	mol	tumorigenic	high
gCh@@duP@	t3	mol	tumorigenic	high
gCi@DDfZ@@	t3	mol	tumorigenic	high
gFp@DiTt@@@	t3	mol	tumorigenic	high
gFp`@dfTujh@	t3	mol	tumorigenic	high
gFp`@df_Ejh@	t3	mol	tumorigenic	high
gFp`ATiTvjh@	t3	mol	tumorigenic	high
gFq@@eOKUU@@	t3	mol	tumorigenic	high
gFq`@ldrfmT`@	t3	mol	tumorigenic	high
gFr@ACTi[FZd@	t3	mol	tumorigenic	high
gFr@ACTi_FVh@	t3	mol	tumorigenic	high
gFt@ATigVVh@	t3	mol	tumorigenic	high
gFt@AdigUjX@	t3	mol	tumorigenic	high
gFtHE`DILikUP@	t3	mol	tumorigenic	high
gFu@E`drfmU@@	t3	mol	tumorigenic	high
gFx@@eJf`@@@	t3	mol	tumorigenic	high
gFx`LDdrfmU@@	t3	mol	tumorigenic	high
gFy@DDfXujh@	t3	mol	tumorigenic	high
gFy@JDiTvjh@	t3	mol	tumorigenic	high
gFy@LDeXvjh@	t3	mol	tumorigenic	high
gFy@LDi^Jnh@	t3	mol	tumorigenic	high
gGP@DiVj`@	t3	mol	tumorigenic	high
gGPBADJHLQXaInih@	t3	mol	tumorigenic	high
gGPBADJHtQXcHiCUp@	t3	mol	tumorigenic	high
gGPBAHJPLaYAInih@	t3	mol	tumorigenic	high
gGPBAHJPtaYCHiCUP@	t3	mol	tumorigenic	high
gGP`@TfYi`@	t3	mol	tumorigenic	high
gGP`ATeVj`@	t3	mol	tumorigenic	high
gGP`ATeVn`@	t3	mol	tumorigenic	high
gGP`ATiVj`@	t3	mol	tumorigenic	high
gGQ@@dkUT@@	t3	mol	tumorigenic	high
gGQ@@eMUT@@	t3	mol	tumorigenic	high
gGQLJHaQFbLbdMT`@	t3	mol	tumorigenic	high
gGQXHlZHROjj@@	t3	mol	tumorigenic	high
gGQ`@bdwMT@@	t3	mol	tumorigenic	high
gGQhHl@cIIBmP@	t3	mol	tumorigenic	high
gGQhHlLSIHTmP@	t3	mol	tumorigenic	high
gGQhHlOAJmZh@	t3	mol	tumorigenic	high
gGT@ADiVj`@	t3	mol	tumorigenic	high
gGU@E`dmmT@@	t3	mol	tumorigenic	high
gGXHD@aIUVd@	t3	mol	tumorigenic	high
gGXLJHaQFbLbdMU`@	t3	mol	tumorigenic	high
gGX`LDdsmT@@	t3	mol	tumorigenic	high
gGY@HDeVZaI@	t3	mol	tumorigenic	high
gGY@HDefZaH`	t3	mol	tumorigenic	high
gGYHLaDIMtu@@	t3	mol	tumorigenic	high
gG]HHjPDIJuS@@	t3	mol	tumorigenic	high
gJP@DjYd@	t3	mol	tumorigenic	high
gJPBADJHtPXaIjj@@	t3	mol	tumorigenic	high
